,names,ratings,cost,dish,deliveryin_min,order
0,Imperial Restaurant,3.9,₹150 for one,"Mughlai, North Indian, Biryani, Chinese, Seafood, Ice Cream, Desserts, Beverages",24 min,3475+ orders placed from here recently
1,Ocea Hotel,4.0,₹150 for one,"North Indian, Chinese, Seafood, Biryani, Beverages, Desserts, Shake",26 min,650+ orders placed from here recently
2,Sri Udupi Park,4.2,₹150 for one,"South Indian, Chinese, Street Food, Beverages, North Indian, Shake",22 min,4175+ orders placed from here recently
3,McDonald's,4.2,₹200 for one,"Burger, Fast Food",21 min,3025+ orders placed from here recently
4,A2B - Adyar Ananda Bhavan,4.2,₹200 for one,"South Indian, Street Food, North Indian, Chinese, Fast Food, Beverages, Desserts",18 min,4200+ orders placed from here recently
5,Biriyani Zone,3.9,₹200 for one,"Biryani, North Indian, Mughlai, Chinese, Kebab, Seafood, Desserts",50 min,4525+ orders placed from here recently
6,Five Star Chicken,3.7,₹200 for one,"Fast Food, Rolls, Burger",30 min,225+ orders placed from here recently
7,Kabab Magic,3.5,₹100 for one,"North Indian, Kebab, Hyderabadi, Mughlai, Chinese, Rolls",31 min,250+ orders placed from here recently
8,Chickpet Donne Biryani House,3.9,₹100 for one,"Biryani, South Indian, Kebab",45 min,1650+ orders placed from here recently
9,Onesta,3.7,₹100 for one,"Pizza, Pasta, Sandwich, Fast Food, Desserts, Beverages",50 min,2725+ orders placed from here recently
10,CakeZone,4.3,₹100 for one,"Desserts, Bakery, Pancake",41 min,2150+ orders placed from here recently
11,MOJO Pizza - 2X Toppings,4.5,₹250 for one,"Pizza, Italian, Fast Food, Desserts, Beverages",30 min,825+ orders placed from here recently
12,Beijing Bites,4.0,₹250 for one,"Chinese, Asian, Thai, Seafood, Malaysian",27 min,2550+ orders placed from here recently
13,Ovenstory Pizza,4.4,₹250 for one,"Pizza, Fast Food",45 min,850+ orders placed from here recently
14,Sri Udupi Food Hub,4.1,₹250 for one,"South Indian, North Indian, Chinese, Sandwich, Street Food, Ice Cream, Shake, Beverages",40 min,3450+ orders placed from here recently
15,WarmOven Cake & Desserts,3.4,₹300 for one,"Bakery, Desserts",33 min,725+ orders placed from here recently
16,Hyderabad Biryaani House,4.1,₹300 for one,"Biryani, North Indian, Hyderabadi, Mughlai, Chinese",27 min,2100+ orders placed from here recently
17,NIC Ice Creams,4.5,₹300 for one,Ice Cream,30 min,1750+ orders placed from here recently
18,BOX8 - Desi Meals,4.4,₹300 for one,"Wraps, North Indian, Fast Food, Biryani, Ice Cream, Desserts, Beverages",30 min,1825+ orders placed from here recently
19,Lassi Shop,3.1,₹100 for one,"Beverages, Shake, Juices, Ice Cream, Desserts, Burger, Fast Food",24 min,100+ orders placed from here recently
20,Dindigul Thalappakatti,3.9,₹100 for one,"Biryani, North Indian, South Indian, Chinese, Seafood, Beverages",22 min,925+ orders placed from here recently
21,Kapoor's Cafe,4.0,₹100 for one,"North Indian, Street Food, Desserts, Beverages",54 min,5000+ orders placed from here recently
22,Anand Sweets And Savouries,4.4,₹100 for one,"Mithai, Street Food, Beverages, Desserts",24 min,3300+ orders placed from here recently
