,names,ratings,cost,dish,deliveryin_min,order
0,Domino's Pizza,3.9,₹200 for one,"Pizza, Italian, Pasta, Fast Food, Desserts",25 min,4400+ orders placed from here recently
1,Pizza Hut,3.6,₹200 for one,"Pizza, Fast Food, Desserts, Beverages",46 min,3300+ orders placed from here recently
2,Burger King,4.0,₹200 for one,"Burger, Fast Food, Desserts, Beverages",33 min,4975+ orders placed from here recently
3,Al-Bek,4.1,₹150 for one,"Mughlai, Arabian, North Indian, Chinese, Seafood",39 min,5525+ orders placed from here recently
4,Polar Bear,4.3,₹150 for one,"Ice Cream, Desserts, Shake, Beverages",32 min,900+ orders placed from here recently
5,Nandhini Deluxe,4.1,₹150 for one,"Andhra, Biryani, South Indian, North Indian, Chinese, Mughlai, Desserts, Beverages",34 min,3700+ orders placed from here recently
6,Mani's Dum Biryani,4.1,₹150 for one,"Biryani, Kebab",31 min,2875+ orders placed from here recently
7,Corner House Ice Creams,4.4,₹150 for one,"Ice Cream, Desserts, Shake",31 min,4175+ orders placed from here recently
8,Sharief Bhai,4.1,₹150 for one,"Biryani, Mughlai, Kebab, Afghan, Street Food, Beverages, Desserts",40 min,6250+ orders placed from here recently
9,RNR Biryani - Taste Of 1953,4.3,₹150 for one,"Biryani, South Indian, Andhra, Desserts",39 min,2475+ orders placed from here recently
10,Andhra Gunpowder,4.3,₹150 for one,"Andhra, Biryani, South Indian, Desserts, Beverages, Hyderabadi",36 min,3750+ orders placed from here recently
11,Kannur Food Point,3.7,₹200 for one,"Kerala, Chinese, South Indian, Arabian, Juices, Beverages, Shake",41 min,39100+ orders placed from here recently
12,Sri Udupi Food Hub,4.1,₹200 for one,"South Indian, North Indian, Chinese, Sandwich, Street Food, Ice Cream, Shake, Beverages",33 min,3450+ orders placed from here recently
13,WarmOven Cake & Desserts,3.4,₹200 for one,"Bakery, Desserts",36 min,725+ orders placed from here recently
14,Hyderabad Biryaani House,3.8,₹200 for one,"Biryani, North Indian, Hyderabadi, Mughlai, Chinese",38 min,9925+ orders placed from here recently
