,names,ratings,cost,dish,deliveryin_min,order
0,Domino's Pizza,4.2,₹200 for one,"Pizza, Italian, Pasta, Fast Food, Desserts",20 min,3825+ orders placed from here recently
1,Pizza Hut,3.4,₹200 for one,"Pizza, Fast Food, Desserts, Beverages",21 min,1900+ orders placed from here recently
2,Meghana Foods,4.3,₹200 for one,"Biryani, Andhra, North Indian, Seafood",17 min,33825+ orders placed from here recently
3,Kannur Food Point,3.7,₹200 for one,"Kerala, Chinese, South Indian, Arabian, Juices, Beverages, Shake",24 min,39100+ orders placed from here recently
4,Imperial Restaurant,4.0,₹200 for one,"Mughlai, North Indian, Biryani, Chinese, Seafood, Ice Cream, Beverages",25 min,6250+ orders placed from here recently
5,Roti-Wala.Com,4.1,₹200 for one,"North Indian, Street Food, Healthy Food, Chinese, Desserts",27 min,22375+ orders placed from here recently
6,Savoury Restaurant,3.8,₹200 for one,"Arabian, North Indian, Chinese, Seafood, Fast Food, Lebanese, Beverages, Desserts",22 min,3750+ orders placed from here recently
7,Polar Bear,4.3,₹150 for one,"Ice Cream, Desserts, Shake, Beverages",16 min,925+ orders placed from here recently
8,Hari Super Sandwich,3.9,₹150 for one,"Fast Food, Sandwich, Street Food",21 min,2925+ orders placed from here recently
9,Chickpet Donne Biryani House,3.9,₹150 for one,"Biryani, South Indian, Kebab",21 min,1650+ orders placed from here recently
10,Royal Biryani Kitchen,3.4,₹150 for one,"Biryani, North Indian, Mughlai, Fast Food, Beverages, Sichuan",33 min,13075+ orders placed from here recently
11,Upahara Darshini,4.0,₹100 for one,"South Indian, North Indian, Fast Food, Street Food, Ice Cream, Beverages, Chinese",18 min,1200+ orders placed from here recently
12,Paakashala,4.2,₹100 for one,"South Indian, North Indian, Chinese, Beverages",22 min,6325+ orders placed from here recently
13,Muthashy's,4.1,₹100 for one,"Kerala, South Indian, Chinese, Sichuan",30 min,14025+ orders placed from here recently
14,Jose Mess,4.0,₹100 for one,"Kerala, South Indian, Biryani",23 min,3600+ orders placed from here recently
15,Shanthi Sagar,3.7,₹100 for one,"South Indian, North Indian, Chinese, Desserts, Beverages, Shake",24 min,1800+ orders placed from here recently
16,Nandhana Palace,3.9,₹100 for one,"Biryani, Andhra, North Indian, Chinese, Mughlai, South Indian, Desserts, Beverages",26 min,3675+ orders placed from here recently
17,Thalassery Restaurant,3.7,₹100 for one,"Arabian, Seafood, North Indian, South Indian, Chinese, Rolls, Fast Food, Beverages",35 min,3425+ orders placed from here recently
18,Kanti Sweets,4.5,₹100 for one,"Mithai, Desserts, Street Food",15 min,775+ orders placed from here recently
19,FreshMenu,3.6,₹250 for one,"Continental, Healthy Food, Fast Food, Burger, Sandwich, Chinese, Pasta, Beverages",27 min,8475+ orders placed from here recently
20,MOJO Pizza - 2X Toppings,4.4,₹250 for one,"Pizza, Italian, Fast Food, Desserts, Beverages",30 min,1175+ orders placed from here recently
21,Beijing Bites,4.0,₹250 for one,"Chinese, Asian, Thai, Seafood, Malaysian",25 min,3125+ orders placed from here recently
22,Ovenstory Pizza,4.5,₹250 for one,"Pizza, Fast Food",35 min,1700+ orders placed from here recently
23,Behrouz Biryani,4.2,₹400 for one,"Biryani, Kebab, North Indian",25 min,875+ orders placed from here recently
24,Hyderabad Biryaani House,3.9,₹400 for one,"Biryani, North Indian, Chinese, Mughlai, Seafood, Beverages, Desserts",35 min,9125+ orders placed from here recently
25,NIC Ice Creams,4.5,₹400 for one,Ice Cream,16 min,2250+ orders placed from here recently
26,BOX8 - Desi Meals,4.3,₹400 for one,"North Indian, Biryani, Fast Food, Wraps, Ice Cream, Desserts, Beverages",30 min,1525+ orders placed from here recently
27,Dindigul Thalappakatti,4.0,₹300 for one,"Biryani, North Indian, South Indian, Chinese, Seafood, Beverages",19 min,1875+ orders placed from here recently
28,Kapoor's Cafe,4.0,₹300 for one,"North Indian, Street Food, Desserts, Beverages",25 min,5000+ orders placed from here recently
29,Kabab Mehal,3.9,₹300 for one,"South Indian, North Indian, Chinese, Mughlai, Seafood, Street Food",42 min,8800+ orders placed from here recently
30,Narmada Chain of Restaurants,4.2,₹300 for one,"Andhra, Hyderabadi, Biryani, North Indian, Chinese, Beverages",35 min,8075+ orders placed from here recently
31,Biryani By Kilo,3.8,₹400 for one,"Biryani, Hyderabadi, North Indian, Kebab, Mughlai, Desserts",70 min,2275+ orders placed from here recently
32,Ayodhya Upachar,4.1,₹400 for one,"South Indian, North Indian, Chinese",35 min,23600+ orders placed from here recently
33,Chulha Chauki Da Dhaba,4.1,₹400 for one,"North Indian, Chinese, Kebab, Mughlai, Biryani, Beverages",26 min,6250+ orders placed from here recently
34,Sardarji Londonwaley,3.7,₹400 for one,"North Indian, Chinese, Mughlai",37 min,7300+ orders placed from here recently
35,Punjabi Nawabi,3.6,₹200 for one,"North Indian, Biryani, Mughlai, Chinese, Kebab",35 min,4375+ orders placed from here recently
36,Roti Ghar,4.0,₹200 for one,"North Indian, Chinese, South Indian, Street Food, Fast Food, Desserts, Shake, Beverages",31 min,8650+ orders placed from here recently
37,Meghduth Biryanis,3.6,₹200 for one,"Biryani, South Indian",25 min,2800+ orders placed from here recently
38,New Udupi Grand,4.0,₹200 for one,"South Indian, North Indian, Street Food, Beverages, Chinese, Shake",42 min,8200+ orders placed from here recently
39,Theobroma,4.3,₹150 for one,"Bakery, Desserts, Beverages",16 min,4175+ orders placed from here recently
40,Biryani Square,3.6,₹150 for one,"Mughlai, North Indian",37 min,1350+ orders placed from here recently
41,Pathaan Sir,3.4,₹150 for one,Rolls,27 min,1000+ orders placed from here recently
42,LunchBox - Meals and Thalis,3.9,₹150 for one,North Indian,24 min,675+ orders placed from here recently
43,Great Indian Khichdi by EatFit,4.1,₹150 for one,"Healthy Food, South Indian",26 min,1900+ orders placed from here recently
44,Sai Prasadam,4.1,₹150 for one,"North Indian, South Indian, Street Food, Chinese",52 min,6200+ orders placed from here recently
45,Chai Point,4.0,₹150 for one,"Tea, Beverages, North Indian, Street Food, Fast Food, Desserts",22 min,1825+ orders placed from here recently
46,Szechuan Dragon,4.1,₹150 for one,"Chinese, Asian, Thai, Momos",31 min,7800+ orders placed from here recently
47,Roll N Rock,3.9,₹100 for one,"Chinese, North Indian, Rolls, Sichuan",30 min,1300+ orders placed from here recently
48,Asha Sweet Center,4.3,₹100 for one,"Mithai, Bakery, Desserts",20 min,2650+ orders placed from here recently
49,Pallavi North Indian Veg Restaurant,4.0,₹100 for one,"North Indian, Chinese, Sichuan",25 min,7250+ orders placed from here recently
50,Ambur Star Briyani ® Since 1890,3.9,₹100 for one,"Biryani, South Indian, Chinese, Chettinad, North Indian, Sichuan",29 min,11325+ orders placed from here recently
51,Beyond The Crust - BTC,4.0,₹250 for one,"Pizza, Fast Food, Desserts",38 min,2900+ orders placed from here recently
52,Kolkata Famous Kati Roll,4.2,₹250 for one,Rolls,46 min,400+ orders placed from here recently
53,WOW! China,3.4,₹250 for one,"Chinese, Asian, Sichuan",36 min,950+ orders placed from here recently
54,Just Shawarma,3.7,₹250 for one,"Lebanese, Fast Food, Beverages",19 min,1975+ orders placed from here recently
55,Just Cakes,3.9,₹350 for one,"Bakery, Desserts",27 min,100+ orders placed from here recently
56,Aubree,4.2,₹350 for one,"Bakery, Desserts",21 min,1300+ orders placed from here recently
